Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Botrytis cinerea T4	Fungi	Ascomycetes	39.5114	43.5	16353	16353	2011	Scaffold
Fusarium verticillioides	Fungi	Ascomycetes	42.5351	48.1549	13769	13769	2018	Chromosome
Sclerotinia sclerotiorum 1980 UF-70	Fungi	Ascomycetes	38.9066	41.5495	11368	11130	2016	Chromosome
Ictidomys tridecemlineatus	Animals	Mammals	1913.37	39.7	-	-	2006	Contig
Oryza rufipogon	Plants	Land Plants	0.391959	43.5	-	-	2019	Contig
Zymoseptoria tritici ST99CH_3D7	Fungi	Ascomycetes	37.8614	52.2247	11726	11726	2017	Chromosome
Parastagonospora nodorum	Fungi	Ascomycetes	34.7819	51.4335	-	-	2017	Complete Genome
Batrachochytrium dendrobatidis JEL423	Fungi	Other Fungi	23.8977	39.4	8762	9879	2006	Scaffold
Callithrix jacchus	Animals	Mammals	1504.61	39.3	-	-	2015	Contig
Manihot esculenta subsp. flabellifolia	Plants	Land Plants	390.836	34.4	-	-	2014	Scaffold
Nicotiana tabacum	Plants	Land Plants	3732.64	39	-	-	2014	Scaffold
Aspergillus niger SH-2	Fungi	Ascomycetes	34.6043	50.3	-	-	2014	Scaffold
Candida dubliniensis	Fungi	Ascomycetes	14.0449	33.1	-	-	2014	Contig
Cryptosporidium hominis	Protists	Apicomplexans	8.74357	30.9	3949	3885	2004	Scaffold
Galdieria sulphuraria	Other	Other	12.0937	41.3	-	-	2016	Contig
Vitis vinifera	Plants	Land Plants	427.171	33.7	-	-	2017	Scaffold
Solanum tuberosum	Plants	Land Plants	90.4582	39.1	-	-	2016	Contig
Ostreococcus tauri	Plants	Green Algae	14.7627	58.9	8205	8099	2017	Scaffold
Secale cereale	Plants	Land Plants	1684.93	46.7	-	-	2016	Scaffold
Prunus persica	Plants	Land Plants	214.225	37.5	-	-	2011	Scaffold
Phaseolus vulgaris	Plants	Land Plants	549.748	37.5213	-	-	2016	Chromosome
Ambystoma mexicanum	Animals	Amphibians	353.835	31.3	-	-	2015	Scaffold
Oikopleura dioica	Animals	Other Animals	45.1412	40.3	13526	13505	2010	Scaffold
Taeniopygia guttata	Animals	Birds	1058.0	42.0169	-	-	2018	Chromosome
Cryptococcus gattii CA1280	Fungi	Basidiomycetes	17.588	48	6831	6683	2015	Scaffold
Aspergillus flavus AF70	Fungi	Ascomycetes	37.0274	48.3	13196	13196	2015	Contig
Malus domestica	Plants	Land Plants	702.961	39.3492	-	-	2017	Chromosome
Lactuca sativa	Plants	Land Plants	1133.66	36.8	-	-	2011	Contig
Saccharomyces pastorianus CBS 1503	Fungi	Ascomycetes	17.1952	39.4	-	-	2016	Scaffold
Ascaris suum	Animals	Roundworms	269.56	38.2	-	-	2012	Scaffold
Schizophyllum commune	Fungi	Basidiomycetes	39.0059	56.7	-	-	2016	Scaffold
Puccinia graminis f. sp. tritici	Fungi	Basidiomycetes	145.09799999999996	-	-	-	2017	Scaffold
Komagataella pastoris DSMZ 70382	Fungi	Ascomycetes	9.40545	41.3	-	-	2009	Contig
Paracoccidioides brasiliensis Pb03	Fungi	Ascomycetes	29.0627	44.5	8548	8427	2007	Scaffold
Pongo abelii	Animals	Mammals	3441.24	41.4979	-	-	2007	Chromosome
Trichoderma reesei RUT C-30	Fungi	Ascomycetes	32.6815	53.6	10048	9849	2014	Scaffold
Rhizopus oryzae HUMC 02	Fungi	Other Fungi	40.2872	34.7	-	-	2014	Scaffold
Coccidioides immitis H538.4	Fungi	Ascomycetes	27.7811	46.9	10723	10593	2006	Scaffold
Blastocystis hominis	Protists	Other Protists	10.4299	52	-	-	2018	Contig
Phytophthora infestans	Protists	Other Protists	152.115	23.2	-	-	2016	Contig
Daphnia pulex	Animals	Other Animals	156.418	37.1	-	-	2016	Scaffold
Clavispora lusitaniae MTCC 1001	Fungi	Ascomycetes	11.9685	44.5	-	-	2013	Contig
Petromyzon marinus	Animals	Fishes	885.535	46.8	-	-	2010	Scaffold
Meloidogyne incognita	Animals	Roundworms	82.095	31.4	-	-	2008	Contig
Meyerozyma guilliermondii	Fungi	Ascomycetes	10.6144	43.7	-	-	2018	Contig
Acanthamoeba castellanii	Protists	Other Protists	46.7146	58.3	-	-	2011	Scaffold
Paramecium tetraurelia strain d4-2	Protists	Other Protists	0.984602	27.5	465	463	2004	Chromosome
Drosophila persimilis	Animals	Insects	188.374	41.9	17479	16878	2005	Scaffold
Caenorhabditis remanei	Animals	Roundworms	118.549	35.9	24977	25651	2016	Scaffold
Drosophila virilis	Animals	Insects	189.444	40.3	-	-	2018	Contig
Trichomonas vaginalis	Protists	Other Protists	164.072	32.6	-	-	2018	Contig
Blastomyces dermatitidis ATCC 18188	Fungi	Ascomycetes	73.6338	37.6	10448	11443	2010	Scaffold
Plasmodium reichenowi	Protists	Apicomplexans	24.4717	19.2913	5908	5640	2018	Chromosome
Fasciola hepatica	Animals	Flatworms	1269.31	44.3	-	-	2015	Scaffold
Drosophila erecta	Animals	Insects	152.71200000000005	40.2	14627	19592	2006	Scaffold
Leishmania infantum	Protists	Kinetoplasts	32.0091	59.5625	-	-	2018	Complete Genome
Drosophila ananassae	Animals	Insects	221.283	42.2	-	-	2018	Contig
Schmidtea mediterranea	Animals	Flatworms	779.48	33.7	-	-	2014	Scaffold
Histoplasma capsulatum G186AR	Fungi	Ascomycetes	30.4833	44.6	9364	9254	2007	Scaffold
Trichinella spiralis	Animals	Roundworms	50.026	33.7	14669	19176	2015	Scaffold
Brassica rapa	Plants	Land Plants	314.865	38.1266	40454	43332	2018	Chromosome
Erinaceus europaeus	Animals	Mammals	2133.12	41.5	-	-	2006	Contig
Tetrahymena thermophila SB210	Protists	Other Protists	157.69299999999996	23.7	47	48	2011	Scaffold
Beta vulgaris subsp. vulgaris	Plants	Land Plants	568.609	37.9729	-	-	2013	Chromosome
Phytophthora ramorum	Protists	Other Protists	66.6524	53	-	-	2006	Scaffold
Drosophila pseudoobscura	Animals	Insects	193.98	44.8811	-	-	2019	Chromosome
Macaca mulatta	Animals	Mammals	3097.39	38.0268	-	-	2006	Chromosome
Candida tropicalis	Fungi	Ascomycetes	15.3268	33.5	-	-	2014	Scaffold
Millerozyma farinosa CBS 7064	Fungi	Ascomycetes	21.4596	41.3602	11746	11175	2011	Chromosome
Zygosaccharomyces rouxii	Fungi	Ascomycetes	19.4692	39.8	-	-	2016	Scaffold
Kazachstania servazzii	Fungi	Ascomycetes	12.4981	34.4	-	-	2018	Contig
Brassica napus	Plants	Land Plants	848.2	37.8	61153	61153	2014	Scaffold
Pan troglodytes	Animals	Mammals	3231.17	41.0646	271	119	2003	Chromosome
Drosophila simulans	Animals	Insects	141.126	43.0472	-	-	2005	Chromosome
Oreochromis niloticus	Animals	Fishes	927.696	39.0824	-	-	2011	Chromosome
Debaryomyces hansenii var. hansenii MTCC 234	Fungi	Ascomycetes	11.4623	35.4	-	-	2011	Contig
Oncorhynchus mykiss	Animals	Fishes	1877.56	43.9941	46585	46585	2014	Chromosome
Ictalurus punctatus	Animals	Fishes	1002.39	23.0631	-	-	2019	Chromosome
Kluyveromyces lactis	Fungi	Ascomycetes	10.6827	38.704	-	-	2017	Complete Genome
Yarrowia lipolytica WSH-Z06	Fungi	Ascomycetes	20.0906	49.0971	-	-	2014	Complete Genome
[Candida] glabrata	Fungi	Ascomycetes	12.7292	38.9217	5543	5293	2017	Chromosome
Equus caballus	Animals	Mammals	2474.93	41.6	-	-	2007	Chromosome
Falco peregrinus	Animals	Birds	1112.06	41.6016	-	-	2016	Chromosome
Coturnix japonica	Animals	Birds	898.1419999999998	-	-	-	2013	Scaffold
Ornithorhynchus anatinus	Animals	Mammals	1858.54	46.046	-	-	2019	Chromosome
Gallus gallus	Animals	Birds	1021.02	41.5242	-	-	2017	Chromosome
Sorghum bicolor	Plants	Land Plants	666.155	42.8	-	-	2018	Scaffold
Sus scrofa	Animals	Mammals	2755.44	42.8544	-	-	2017	Chromosome
Coccidioides posadasii RMSCC 3488	Fungi	Ascomycetes	28.2111	46.3	10016	9964	2007	Scaffold
Canis lupus familiaris	Animals	Mammals	1517.48	41.1	-	-	2003	Contig
Ovis aries	Animals	Mammals	2615.52	41.9603	-	-	2012	Chromosome
Bos taurus	Animals	Mammals	2670.14	41.5001	26377	21299	2009	Chromosome
Felis catus	Animals	Mammals	3160.29	45.31	-	-	2009	Chromosome
Eremothecium gossypii FDAG1	Fungi	Ascomycetes	9.15715	51.678	5378	4774	2012	Complete Genome
Bombyx mori	Animals	Insects	397.687	37.8	-	-	2004	Scaffold
Rattus norvegicus	Animals	Mammals	2616.42	42.3564	36373	28074	2005	Chromosome
Naumovozyma castellii NRRL Y-12630	Fungi	Ascomycetes	11.2423	36.9	-	-	2003	Scaffold
Ustilago maydis	Fungi	Basidiomycetes	20.6221	53.8	-	-	2016	Contig
Pyricularia oryzae	Fungi	Ascomycetes	42.7033	50.0762	-	-	2019	Complete Genome
Saccharomyces paradoxus	Fungi	Ascomycetes	12.0928	38.5612	-	-	2017	Chromosome
Saccharomyces kudriavzevii IFO 1802	Fungi	Ascomycetes	11.1891	39.8	3764	3764	2003	Scaffold
Plasmodium yoelii	Protists	Apicomplexans	22.0317	22.3826	5831	5654	2014	Chromosome
Saccharomyces mikatae IFO 1815	Fungi	Ascomycetes	10.7717	38.1	-	-	2003	Scaffold
Aspergillus terreus	Fungi	Ascomycetes	27.9632	-	-	-	2018	Contig
Glossina morsitans	Animals	Insects	348.0630000000001	32.8	-	-	2015	Scaffold
Guillardia theta	Other	Other	0.672788	27.5981	743	632	1999	Chromosome
Fusarium graminearum	Fungi	Ascomycetes	36.6676	48.0236	13355	13355	2014	Chromosome
Cryptococcus neoformans var. grubii H99	Fungi	Basidiomycetes	18.9161	48.1988	8338	7826	2012	Chromosome
Mus musculus	Animals	Mammals	2732.67	42.7637	-	-	2016	Chromosome
Danio rerio	Animals	Fishes	1411.76	36.9	-	-	2010	Scaffold
Ciona intestinalis	Animals	Other Animals	116.733	36.1	-	-	2002	Scaffold
Homo sapiens	Animals	Mammals	2863.65	41.1991	-	-	2004	Chromosome
Anopheles gambiae	Animals	Insects	236.403	44.5	-	-	2008	Scaffold
Drosophila melanogaster	Animals	Insects	144.125	41.878	-	-	2017	Chromosome
Apis mellifera	Animals	Insects	250.287	33.9024	-	-	2003	Chromosome
Aedes aegypti	Animals	Insects	1383.97	38.7998	17236	17400	2005	Scaffold
Aedes albopictus	Animals	Insects	1923.48	40.7	17034	17034	2015	Scaffold
Plasmodium knowlesi	Protists	Apicomplexans	24.3112	38.6379	-	-	2017	Chromosome
Caenorhabditis elegans	Animals	Roundworms	102.915	35.4342	-	-	2019	Chromosome
Encephalitozoon cuniculi EC3	Fungi	Other Fungi	2.2647	46.8	-	-	2011	Contig
Plasmodium vivax	Protists	Apicomplexans	28.9953	39.6833	6499	6077	2016	Chromosome
Plasmodium falciparum	Protists	Apicomplexans	22.6822	19.1914	-	-	2018	Complete Genome
Toxoplasma gondii CAST	Protists	Apicomplexans	64.8947	52.2	9664	9497	2012	Scaffold
Plasmodium berghei	Protists	Apicomplexans	18.8112	22.1227	5203	5103	2016	Chromosome
Plasmodium chabaudi adami	Protists	Apicomplexans	19.3504	23.5772	5582	5378	2016	Chromosome
Eimeria tenella	Protists	Apicomplexans	1.38246	49.4	218	216	2006	Chromosome
Cryptosporidium parvum	Protists	Apicomplexans	9.11159	30.2	-	-	2017	Contig
Entamoeba histolytica KU27	Protists	Other Protists	15.2721	25.2	7464	7455	2013	Scaffold
Giardia intestinalis ATCC 50581	Protists	Other Protists	11.0015	47.3	4550	4470	2009	Contig
Trypanosoma cruzi strain Esmeraldo	Protists	Kinetoplasts	38.0811	50.6	-	-	2012	Scaffold
Trypanosoma brucei brucei TREU927	Protists	Kinetoplasts	26.0755	46.4407	10221	8758	2002	Chromosome
Leishmania major strain SD 75.1	Protists	Kinetoplasts	31.2428	59.5	-	-	2012	Scaffold
Phanerochaete chrysosporium RP-78	Fungi	Basidiomycetes	29.8426	57	-	-	2004	Contig
Neurospora crassa	Fungi	Ascomycetes	40.4162	48.9	12368	11968	2014	Scaffold
Candida albicans	Fungi	Ascomycetes	28.5932	33.5683	-	-	2017	Chromosome
Aspergillus nidulans FGSC A4	Fungi	Ascomycetes	29.8283	50.37	10597	10534	2009	Chromosome
Aspergillus fumigatus A1163	Fungi	Ascomycetes	29.2054	49.5	10123	9929	2007	Scaffold
Schizosaccharomyces pombe	Fungi	Ascomycetes	12.6243	36.0441	-	-	2018	Chromosome
Saccharomyces cerevisiae	Fungi	Ascomycetes	12.0863	38.1473	-	-	2015	Complete Genome
Zea mays subsp. mays	Plants	Land Plants	2133.88	46.7493	-	-	2016	Chromosome
Triticum aestivum	Plants	Land Plants	15344.7	46.1	-	-	2017	Contig
Solanum lycopersicum	Plants	Land Plants	824.01	35.6437	-	-	2017	Chromosome
Oryza sativa Indica Group	Plants	Land Plants	352.121	43.4619	-	-	2015	Chromosome
Hordeum vulgare subsp. vulgare	Plants	Land Plants	1868.64	44.3	-	-	2012	Scaffold
Medicago truncatula	Plants	Land Plants	429.612	33.4385	50802	44450	2018	Chromosome
Glycine max	Plants	Land Plants	990.714	35.4089	-	-	2018	Chromosome
Arabidopsis thaliana	Plants	Land Plants	118.891	35.8882	27158	30837	2016	Chromosome
Glycine max	Plants	Land Plants	1017.57	35.2683	-	-	2018	Chromosome
Arabidopsis thaliana	Plants	Land Plants	119.627	36.1052	-	-	2019	Chromosome
Solanum lycopersicum	Plants	Land Plants	760.067	34.7605	-	-	2014	Chromosome
Medicago truncatula	Plants	Land Plants	402.065	32.8	-	-	2017	Scaffold
Hordeum vulgare subsp. vulgare	Plants	Land Plants	1779.49	44.9	-	-	2012	Scaffold
Oryza sativa Indica Group	Plants	Land Plants	390.984	43.611	-	-	2017	Chromosome
Triticum aestivum	Plants	Land Plants	9134.02	40.5	-	-	2014	Scaffold
Zea mays subsp. mays	Plants	Land Plants	2455.26	46.8254	-	-	2017	Chromosome
Saccharomyces cerevisiae	Fungi	Ascomycetes	12.1655	38.3121	-	-	2018	Complete Genome
Aspergillus fumigatus Z5	Fungi	Ascomycetes	29.3561	49.2	9540	9540	2015	Scaffold
Candida albicans	Fungi	Ascomycetes	28.5999	33.4808	-	-	2017	Chromosome
Leishmania major strain LV39c5	Protists	Kinetoplasts	32.3275	59.3	-	-	2013	Scaffold
Trypanosoma cruzi JR cl. 4	Protists	Kinetoplasts	41.4808	51.2	-	-	2013	Scaffold
Giardia lamblia P15	Protists	Other Protists	11.5221	47.2	5150	5007	2010	Contig
Entamoeba histolytica HM-1:IMSS-B	Protists	Other Protists	12.7819	27.1	6301	6301	2013	Scaffold
Trypanosoma brucei equiperdum	Protists	Kinetoplasts	26.9917	46.2229	10293	7718	2018	Chromosome
Cryptosporidium parvum	Protists	Apicomplexans	9.04019	30.2	-	-	2017	Contig
Plasmodium chabaudi chabaudi	Protists	Apicomplexans	18.9194	23.7088	5390	5226	2016	Chromosome
Plasmodium berghei	Protists	Apicomplexans	18.4717	22.0929	5147	4914	2016	Chromosome
Toxoplasma gondii GT1	Protists	Apicomplexans	65.0622	52.3	8627	8460	2006	Scaffold
Plasmodium falciparum 3D7	Protists	Apicomplexans	23.265	19.6196	-	-	2016	Chromosome
Plasmodium knowlesi strain H	Protists	Apicomplexans	24.3599	38.6	5415	5172	2016	Contig
Plasmodium vivax	Protists	Apicomplexans	29.0402	39.6451	6826	6510	2016	Chromosome
Encephalitozoon cuniculi EC2	Fungi	Other Fungi	2.28123	46.9	-	-	2011	Contig
Caenorhabditis elegans	Animals	Roundworms	98.3028	35.4305	-	-	2015	Chromosome
Aedes albopictus	Animals	Insects	1341.04	40.4	-	-	2015	Contig
Aedes aegypti	Animals	Insects	744.596	28	-	-	2015	Scaffold
Anopheles gambiae	Animals	Insects	293.748	22.4	-	-	2016	Contig
Drosophila melanogaster	Animals	Insects	137.46	42.1131	-	-	2018	Chromosome
Apis mellifera mellifera	Animals	Insects	227.036	32.4519	-	-	2018	Chromosome
Homo sapiens	Animals	Mammals	2844.0	40.3433	-	-	2007	Chromosome
Mus musculus	Animals	Mammals	2630.0	42.3553	-	-	2016	Chromosome
Danio rerio	Animals	Fishes	1442.82	37.1	-	-	2015	Scaffold
Cryptococcus neoformans var. grubii	Fungi	Basidiomycetes	18.9146	48.1988	6967	7818	2017	Chromosome
Aspergillus terreus	Fungi	Ascomycetes	29.3254	51.1	-	-	2016	Scaffold
Fusarium graminearum	Fungi	Ascomycetes	38.0479	48.1531	28291	14143	2014	Chromosome
Plasmodium yoelii killicki	Protists	Apicomplexans	19.8783	23.2311	-	-	2018	Chromosome
Saccharomyces kudriavzevii FM1056	Fungi	Ascomycetes	10.0757	42.3	-	-	2012	Scaffold
Saccharomyces paradoxus	Fungi	Ascomycetes	11.8816	38.5049	-	-	2017	Chromosome
Pyricularia oryzae	Fungi	Ascomycetes	44.5168	49.8648	-	-	2019	Chromosome
Ustilago maydis	Fungi	Basidiomycetes	20.2089	53.9	-	-	2016	Contig
Rattus norvegicus	Animals	Mammals	22.3969	42.5	-	-	2007	Contig
Bombyx mori	Animals	Insects	381.906	37.4	-	-	2004	Contig
Bos taurus	Animals	Mammals	2724.98	41.8685	-	-	2004	Chromosome
Ovis aries musimon	Animals	Mammals	2589.83	42.4	-	-	2014	Scaffold
Canis lupus familiaris	Animals	Mammals	2254.63	40.7	-	-	2013	Contig
Sus scrofa	Animals	Mammals	2611.36	43.1	-	-	2015	Scaffold
Coccidioides posadasii RMSCC 2133	Fungi	Ascomycetes	27.9191	47	-	-	2007	Scaffold
Sorghum bicolor	Plants	Land Plants	0.018494	45	22	22	2011	Contig
Ornithorhynchus anatinus	Animals	Mammals	1990.41	46.6	-	-	2018	Scaffold
Equus caballus	Animals	Mammals	2377.51	41.3	-	-	2014	Scaffold
[Candida] glabrata	Fungi	Ascomycetes	12.7282	38.9031	5544	5297	2017	Chromosome
Yarrowia lipolytica	Fungi	Ascomycetes	20.548	48.9838	8746	7949	2016	Complete Genome
Debaryomyces hansenii	Fungi	Ascomycetes	11.6201	35.5	-	-	2016	Contig
Drosophila simulans	Animals	Insects	137.843	42.1628	15998	15415	2005	Chromosome
Pan troglodytes	Animals	Mammals	2733.95	40.7	-	-	2003	Contig
Zygosaccharomyces rouxii	Fungi	Ascomycetes	20.9101	39.6	-	-	2018	Contig
Candida tropicalis	Fungi	Ascomycetes	14.5526	30.8	-	-	2018	Scaffold
Macaca mulatta	Animals	Mammals	2969.97	41.8692	21524	17802	2011	Chromosome
Drosophila pseudoobscura pseudoobscura	Animals	Insects	164.366	45.3	-	-	2004	Scaffold
Phytophthora ramorum	Protists	Other Protists	47.7097	52.9	-	-	2013	Scaffold
Beta vulgaris subsp. vulgaris	Plants	Land Plants	540.534	35.8516	-	-	2018	Chromosome
Brassica rapa	Plants	Land Plants	401.927	37.6061	-	-	2018	Chromosome
Fasciola hepatica	Animals	Flatworms	1275.11	44.3	-	-	2014	Scaffold
Histoplasma capsulatum H88	Fungi	Ascomycetes	37.9432	42	9665	9445	2008	Scaffold
Schmidtea mediterranea	Animals	Flatworms	700.7260000000001	31.9	-	-	2014	Scaffold
Plasmodium reichenowi	Protists	Apicomplexans	24.0555	19.4	5901	5630	2014	Scaffold
Leishmania infantum	Protists	Kinetoplasts	32.8032	59.7	8747	8526	2018	Contig
Blastomyces dermatitidis ATCC 26199	Fungi	Ascomycetes	71.5153	37.1	9491	11211	2010	Scaffold
Caenorhabditis remanei	Animals	Roundworms	124.542	35.3	24867	25568	2017	Scaffold
Drosophila virilis	Animals	Insects	1.25535	37.3	81	81	2009	Chromosome
Drosophila sechellia	Animals	Insects	1.61407	47.2	-	-	2014	Scaffold
Clavispora lusitaniae	Fungi	Ascomycetes	11.9928	44.5	5740	5537	2016	Scaffold
Meyerozyma guilliermondii	Fungi	Ascomycetes	10.6662	43.7	-	-	2017	Scaffold
Acanthamoeba castellanii	Protists	Other Protists	115.05	58.9	-	-	2015	Scaffold
Meloidogyne incognita	Animals	Roundworms	121.964	-	-	-	2018	Scaffold
Coccidioides immitis RMSCC 2394	Fungi	Ascomycetes	28.9084	46.2	10524	10408	2006	Scaffold
Rhizopus oryzae B7407	Fungi	Other Fungi	43.2723	34.9	-	-	2014	Contig
Pongo abelii	Animals	Mammals	2.35168	41.3	-	-	2006	Contig
Paracoccidioides brasiliensis	Fungi	Ascomycetes	29.3999	44.2	8186	8070	2016	Scaffold
Komagataella pastoris	Fungi	Ascomycetes	9.36183	41.1	-	-	2016	Contig
Schizophyllum commune	Fungi	Basidiomycetes	51.1577	58.4	-	-	2018	Scaffold
Saccharomyces pastorianus CBS 1513	Fungi	Ascomycetes	19.2482	39.3	-	-	2016	Scaffold
Ascaris suum	Animals	Roundworms	279.712	37.6	-	-	2013	Scaffold
Lactuca sativa	Plants	Land Plants	1975.25	-	-	-	2017	Scaffold
Malus domestica	Plants	Land Plants	660.4630000000002	38.1039	42841	42841	2019	Chromosome
Aspergillus flavus	Fungi	Ascomycetes	35.8352	48.3	-	-	2016	Contig
Trichoderma reesei	Fungi	Ascomycetes	32.1753	54	-	-	2019	Contig
Taeniopygia guttata	Animals	Birds	1982.69	42.2	-	-	2017	Contig
Prunus persica	Plants	Land Plants	211.308	37.2	-	-	2011	Scaffold
Vitis vinifera	Plants	Land Plants	427.04	33.7	-	-	2017	Scaffold
Candida dubliniensis	Fungi	Ascomycetes	13.9982	33.1	-	-	2014	Contig
Cryptosporidium hominis	Protists	Apicomplexans	8.8618	30.4	-	-	2015	Contig
Nicotiana tabacum	Plants	Land Plants	3735.82	39	-	-	2014	Scaffold
Aspergillus niger ATCC 13496	Fungi	Ascomycetes	35.6907	49.5	12468	12194	2018	Scaffold
Manihot esculenta	Plants	Land Plants	292.098	34.5	-	-	2014	Scaffold
Callithrix jacchus	Animals	Mammals	2620.63	40.8	-	-	2015	Contig
Parastagonospora nodorum	Fungi	Ascomycetes	37.6951	49.8118	-	-	2017	Chromosome
Zymoseptoria tritici ST99CH_1A5	Fungi	Ascomycetes	39.6987	52.2048	12072	12072	2017	Chromosome
Oryza rufipogon	Plants	Land Plants	0.467544	43	-	-	2019	Contig
Batrachochytrium dendrobatidis	Fungi	Other Fungi	24.1022	39.3	-	-	2018	Contig
Ictidomys tridecemlineatus	Animals	Mammals	2478.64	37.2	-	-	2019	Scaffold
Fusarium verticillioides	Fungi	Ascomycetes	42.2944	48.2594	307	307	2018	Chromosome
Arabidopsis lyrata subsp. petraea	Plants	Land Plants	175.183	31.4	-	-	2018	Scaffold
Botrytis cinerea T4	Fungi	Ascomycetes	41.6129	42.5	-	-	2012	Scaffold
Hevea brasiliensis	Plants	Land Plants	1550.51	33.4	-	-	2016	Scaffold
Aspergillus oryzae AS 3.951	Fungi	Ascomycetes	36.3336	48.3	-	-	2012	Contig
[Nectria] haematococca	Fungi	Ascomycetes	44.9317	52.6	-	-	2019	Scaffold
Oryzias latipes	Animals	Fishes	677.633	40.64	-	-	2017	Chromosome
Vigna radiata	Plants	Land Plants	10.1012	34.9	-	-	2009	Contig
Taenia solium	Animals	Flatworms	116.38	31.3	-	-	2017	Contig
Brachypodium distachyon	Plants	Land Plants	218.015	45.5	-	-	2018	Contig
Malassezia globosa	Fungi	Basidiomycetes	8.94037	52	-	-	2015	Scaffold
Malassezia restricta CBS 7877	Fungi	Basidiomycetes	4.62844	55.3	-	-	2007	Scaffold
Pyrenophora tritici-repentis	Fungi	Ascomycetes	33.774	50.9	12168	12086	2018	Scaffold
Fusarium oxysporum f. sp. lycopersici 4287	Fungi	Ascomycetes	53.919	47.6858	-	-	2018	Chromosome
Leishmania braziliensis	Protists	Kinetoplasts	38.0036	56.5279	-	-	2018	Chromosome
Talaromyces marneffei PM1	Fungi	Ascomycetes	28.8875	46.8	-	-	2011	Contig
Trichoderma virens	Fungi	Ascomycetes	45.8201	49.1	-	-	2016	Scaffold
Trichoderma atroviride	Fungi	Ascomycetes	36.4032	49.7	-	-	2015	Scaffold
Hypsibius dujardini	Animals	Other Animals	182.155	30.8	-	-	2016	Scaffold
Tursiops truncatus	Animals	Mammals	2404.36	40.9	-	-	2018	Scaffold
Bubalus bubalis	Animals	Mammals	3005.95	42.6	-	-	2018	Scaffold
Macaca fascicularis	Animals	Mammals	3126.56	42.0609	21132	17456	2011	Chromosome
Trichophyton rubrum CBS 100081	Fungi	Ascomycetes	23.0618	47.2	8985	10637	2014	Scaffold
Verticillium dahliae VdLs.17	Fungi	Ascomycetes	35.9739	53.9912	-	-	2015	Complete Genome
Blumeria graminis f. sp. tritici JIW2	Fungi	Ascomycetes	65.2373	42.9	-	-	2013	Scaffold
Agaricus bisporus var. bisporus	Fungi	Basidiomycetes	30.7842	46.517	-	-	2016	Chromosome
Pleurotus ostreatus	Fungi	Basidiomycetes	34.7075	50.5	-	-	2018	Scaffold
Beauveria bassiana	Fungi	Ascomycetes	38.8285	49.1	-	-	2016	Scaffold
Jatropha curcas	Plants	Land Plants	265.767	33.4	-	-	2019	Scaffold
Serpula lacrymans var. lacrymans	Fungi	Basidiomycetes	37.393	44.8	-	-	2018	Scaffold
Candida parapsilosis	Fungi	Ascomycetes	13.0251	38.3	-	-	2014	Scaffold
Puccinia triticina Race 106	Fungi	Basidiomycetes	105.068	-	-	-	2016	Contig
Cucumis sativus	Plants	Land Plants	342.654	-	-	-	2015	Contig
Gorilla gorilla gorilla	Animals	Mammals	25.3917	41.5	-	-	2016	Scaffold
Metarhizium anisopliae BRIP 53284	Fungi	Ascomycetes	38.0886	51.5	11456	11456	2013	Scaffold
Pseudogymnoascus destructans M1379	Fungi	Ascomycetes	30.2827	49.8	-	-	2013	Contig
Fusarium proliferatum	Fungi	Ascomycetes	43.338	48.7	-	-	2018	Contig
Trichoderma harzianum	Fungi	Ascomycetes	39.7215	48.5	11498	11498	2015	Scaffold
Zygosaccharomyces bailii ISA1307	Fungi	Ascomycetes	21.1411	42.4	10442	9925	2014	Scaffold
Puccinia striiformis f. sp. tritici PST43	Fungi	Basidiomycetes	70.6739	44.2	-	-	2013	Contig
Microbotryum violaceum	Fungi	Basidiomycetes	35.4054	56	-	-	2016	Contig
Epichloe festucae Fl1	Fungi	Ascomycetes	35.1499	44.2	-	-	2011	Scaffold
Wuchereria bancrofti	Animals	Roundworms	76.9915	28.8	13041	13005	2018	Scaffold
Hyaloperonospora arabidopsidis	Protists	Other Protists	74.4562	47.8	-	-	2015	Scaffold
Nothobranchius furzeri	Animals	Fishes	113.234	45.2	-	-	2009	Scaffold
Anopheles stephensi	Animals	Insects	221.324	45	-	-	2012	Scaffold
Elaeis guineensis	Plants	Land Plants	134.97	38.2	-	-	2017	Contig
Lepeophtheirus salmonis	Animals	Other Animals	665.312	30.8	-	-	2015	Contig
Oryza barthii	Plants	Land Plants	294.191	42	-	-	2018	Scaffold
Cricetulus griseus	Animals	Mammals	2368.91	41.5	32567	46750	2018	Scaffold
Spirodela polyrhiza	Plants	Land Plants	138.592	42.3	-	-	2018	Scaffold
Anas platyrhynchos	Animals	Birds	1105.05	41.2	18064	16645	2013	Scaffold
Mucor circinelloides	Fungi	Other Fungi	35.3389	40.2	-	-	2015	Scaffold
Arachis hypogaea	Plants	Land Plants	2506.71	36.3706	-	-	2018	Chromosome
Cicer arietinum	Plants	Land Plants	653.867	-	-	-	2018	Scaffold
Pyrenophora teres f. teres 0-1	Fungi	Ascomycetes	33.5833	50.9	11799	11799	2010	Scaffold
Ophiognomonia clavigignenti-juglandacearum	Fungi	Ascomycetes	49.6476	51.9	-	-	2018	Contig
Leishmania donovani	Protists	Kinetoplasts	32.1484	58.2148	-	-	2017	Chromosome
